council_id,ons_code,slug,name,type,county,region,principal_authority,source
36655,E04000319,appleton-parish-council,Appleton Parish Council,parish,Warrington,North West,Warrington,excel
4243,,appleton-roebuck-and-acaster-selby,Appleton Roebuck and Acaster Selby,parish,North Yorkshire,Yorkshire and the Humber,North Yorkshire,excel
33917,E04007711,appleton-roebuck-parish-council,Appleton Roebuck Parish Council,parish,North Yorkshire,Yorkshire and the Humber,North Yorkshire,excel
33532,E04007134,appleton-wiske-parish-council,Appleton Wiske Parish Council,parish,North Yorkshire,Yorkshire and the Humber,North Yorkshire,excel
34551,E04012502,appleton-with-eaton-parish-council,Appleton with Eaton Parish Council,parish,Oxfordshire,South East,Oxfordshire,excel
33533,E04012235,appletreewick-parish-council,Appletreewick Parish Council,parish,North Yorkshire,Yorkshire and the Humber,North Yorkshire,excel
36390,E04012649,archdeacon-newton-parish-council,Archdeacon Newton Parish Council,parish,County Durham,North East,Darlington,excel
30257,E04010895,arclid-parish-council,Arclid Parish Council,parish,Cheshire,North West,Cheshire East,excel
32270,E04004714,ardeley-parish-council,Ardeley Parish Council,parish,Hertfordshire,East of England,East Hertfordshire,excel
31659,E04004089,ardleigh-parish-council,Ardleigh Parish Council,parish,Essex,East of England,Essex,excel
34474,,ardley-with-fewcott-parish-council,Ardley with Fewcott Parish Council,parish,Oxfordshire,South East,Cherwell,excel
4969,,arkendale-coneythorpe-and-clareton,"Arkendale, Coneythorpe and Clareton",parish,North Yorkshire,Yorkshire and the Humber,North Yorkshire,excel
6424,,arkengarthdale,Arkengarthdale,parish,North Yorkshire,Yorkshire and the Humber,North Yorkshire,excel
33535,E04007445,arkengarthdale-parish-council,Arkengarthdale Parish Council,parish,North Yorkshire,Yorkshire and the Humber,North Yorkshire,excel
5954,E04004115,arkesden,Arkesden,parish,Essex,East of England,Uttlesford,excel
30229,E04011925,arlesey-parish-council,Arlesey Parish Council,parish,Central Bedfordshire,East of England,Central Bedfordshire,excel
31866,E04004338,arlingham-parish-council,Arlingham Parish Council,parish,Gloucestershire,South West,Stroud,excel
6835,E04003830,arlington-parish-council,Arlington Parish Council,parish,East Sussex,South East,East Sussex,excel
4022,,arlington-parish-council-1,Arlington Parish Council,parish,East Sussex,South East,East Sussex,excel
6285,E04008916,armitage-with-handsacre-parish-council,Armitage with Handsacre Parish Council,parish,Staffordshire,West Midlands,Staffordshire,excel
6485,E04000058,armthorpe-parish-council,Armthorpe Parish Council,parish,South Yorkshire,Yorkshire and the Humber,Doncaster,excel
34475,E04008021,arncott-parish-council,Arncott Parish Council,parish,Oxfordshire,South East,Cherwell,excel
