id,slug,council_name,type,county,district,region,website,data_source,ons_code
ons-E04006003,holton-cum-beckering-parish-council,Holton cum Beckering Parish Council,parish,,,,,ons,E04006003
ons-E04006005,ingham-parish-council,Ingham Parish Council,parish,,,,,ons,E04006005
ons-E04006007,kettlethorpe-parish-council,Kettlethorpe Parish Council,parish,,,,,ons,E04006007
ons-E04006009,kirmond-le-mire-parish-council,Kirmond le Mire Parish Council,parish,,,,,ons,E04006009
ons-E04006013,legsby-parish-council,Legsby Parish Council,parish,,,,,ons,E04006013
ons-E04006015,lissington-parish-council,Lissington Parish Council,parish,,,,,ons,E04006015
ons-E04006022,newball-parish-council,Newball Parish Council,parish,,,,,ons,E04006022
ons-E04006023,newton-on-trent-parish-council,Newton on Trent Parish Council,parish,,,,,ons,E04006023
ons-E04006048,snelland-parish-council,Snelland Parish Council,parish,,,,,ons,E04006048
ons-E04006027,north-kelsey-parish-council,North Kelsey Parish Council,parish,,,,,ons,E04006027
ons-E04006029,northorpe-parish-council,Northorpe Parish Council,parish,,,,,ons,E04006029
ons-E04006031,owersby-parish-council,Owersby Parish Council,parish,,,,,ons,E04006031
ons-E04006314,fring-parish-council,Fring Parish Council,parish,,,,,ons,E04006314
ons-E04006318,harpley-parish-council,Harpley Parish Council,parish,,,,,ons,E04006318
ons-E04006320,hilgay-parish-council,Hilgay Parish Council,parish,,,,,ons,E04006320
ons-E04006053,spridlington-parish-council,Spridlington Parish Council,parish,,,,,ons,E04006053
ons-E04006054,springthorpe-parish-council,Springthorpe Parish Council,parish,,,,,ons,E04006054
ons-E04006058,stow-parish-council,Stow Parish Council,parish,,,,,ons,E04006058
ons-E04006062,swinhope-parish-council,Swinhope Parish Council,parish,,,,,ons,E04006062
ons-E04006063,tealby-parish-council,Tealby Parish Council,parish,,,,,ons,E04006063
ons-E04006064,thonock-parish-council,Thonock Parish Council,parish,,,,,ons,E04006064
ons-E04006071,waddingham-parish-council,Waddingham Parish Council,parish,,,,,ons,E04006071
ons-E04006077,wickenby-parish-council,Wickenby Parish Council,parish,,,,,ons,E04006077
ons-E04006078,wildsworth-parish-council,Wildsworth Parish Council,parish,,,,,ons,E04006078
ons-E04006080,willoughton-parish-council,Willoughton Parish Council,parish,,,,,ons,E04006080
ons-E04006482,swanton-abbott-parish-council,Swanton Abbott Parish Council,parish,,,,,ons,E04006482
ons-E04006483,swanton-novers-parish-council,Swanton Novers Parish Council,parish,,,,,ons,E04006483
ons-E04006594,shotesham-parish-council,Shotesham Parish Council,parish,,,,,ons,E04006594
ons-E04006596,starston-parish-council,Starston Parish Council,parish,,,,,ons,E04006596
ons-E04006488,thursford-parish-council,Thursford Parish Council,parish,,,,,ons,E04006488
ons-E04006489,trimingham-parish-council,Trimingham Parish Council,parish,,,,,ons,E04006489
ons-E04007900,elston-parish-council,Elston Parish Council,parish,,,,,ons,E04007900
ons-E04006598,stoke-holy-cross-parish-council,Stoke Holy Cross Parish Council,parish,,,,,ons,E04006598
ons-E04006490,trunch-parish-council,Trunch Parish Council,parish,,,,,ons,E04006490
ons-E04007901,epperstone-parish-council,Epperstone Parish Council,parish,,,,,ons,E04007901
ons-E04007794,bothamsall-parish-council,Bothamsall Parish Council,parish,,,,,ons,E04007794
ons-E04006491,tunstead-parish-council,Tunstead Parish Council,parish,,,,,ons,E04006491
ons-E04007795,carburton-parish-council,Carburton Parish Council,parish,,,,,ons,E04007795
ons-E04006389,baconsthorpe-parish-council,Baconsthorpe Parish Council,parish,,,,,ons,E04006389
ons-E04006600,swainsthorpe-parish-council,Swainsthorpe Parish Council,parish,,,,,ons,E04006600
ons-E04007904,fiskerton-cum-morton-parish-council,Fiskerton cum Morton Parish Council,parish,,,,,ons,E04007904
ons-E04007852,west-stockwith-parish-council,West Stockwith Parish Council,parish,,,,,ons,E04007852
ons-E04007797,clarborough-and-welham-parish-council,Clarborough and Welham Parish Council,parish,,,,,ons,E04007797
ons-E04006391,barsham-parish-council,Barsham Parish Council,parish,,,,,ons,E04006391
ons-E04006437,ingworth-parish-council,Ingworth Parish Council,parish,,,,,ons,E04006437
ons-E04007909,halam-parish-council,Halam Parish Council,parish,,,,,ons,E04007909
ons-E04007913,hockerton-parish-council,Hockerton Parish Council,parish,,,,,ons,E04007913
ons-E04007915,hoveringham-parish-council,Hoveringham Parish Council,parish,,,,,ons,E04007915
ons-E04007917,kersall-parish-council,Kersall Parish Council,parish,,,,,ons,E04007917
ons-E04007931,norwell-parish-council,Norwell Parish Council,parish,,,,,ons,E04007931
ons-E04007934,ossington-parish-council,Ossington Parish Council,parish,,,,,ons,E04007934
ons-E04007941,south-muskham-parish-council,South Muskham Parish Council,parish,,,,,ons,E04007941
ons-E04007944,spalford-parish-council,Spalford Parish Council,parish,,,,,ons,E04007944
ons-E04007947,sutton-on-trent-parish-council,Sutton-on-Trent Parish Council,parish,,,,,ons,E04007947
ons-E04007948,syerston-parish-council,Syerston Parish Council,parish,,,,,ons,E04007948
ons-E04007951,thurgarton-parish-council,Thurgarton Parish Council,parish,,,,,ons,E04007951
ons-E04007854,clumber-and-hardwick-parish-council,Clumber and Hardwick Parish Council,parish,,,,,ons,E04007854
ons-E04006603,tasburgh-parish-council,Tasburgh Parish Council,parish,,,,,ons,E04006603
ons-E04006393,beeston-regis-parish-council,Beeston Regis Parish Council,parish,,,,,ons,E04006393
ons-E04006395,blakeney-parish-council,Blakeney Parish Council,parish,,,,,ons,E04006395
ons-E04006397,briningham-parish-council,Briningham Parish Council,parish,,,,,ons,E04006397
ons-E04006398,brinton-parish-council,Brinton Parish Council,parish,,,,,ons,E04006398
ons-E04006399,briston-parish-council,Briston Parish Council,parish,,,,,ons,E04006399
ons-E04006401,catfield-parish-council,Catfield Parish Council,parish,,,,,ons,E04006401
ons-E04006404,corpusty-and-saxthorpe-parish-council,Corpusty and Saxthorpe Parish Council,parish,,,,,ons,E04006404
ons-E04006408,east-beckham-parish-council,East Beckham Parish Council,parish,,,,,ons,E04006408
ons-E04006409,east-ruston-parish-council,East Ruston Parish Council,parish,,,,,ons,E04006409
ons-E04006415,field-dalling-parish-council,Field Dalling Parish Council,parish,,,,,ons,E04006415
ons-E04006417,gimingham-parish-council,Gimingham Parish Council,parish,,,,,ons,E04006417
ons-E04006429,hindringham-parish-council,Hindringham Parish Council,parish,,,,,ons,E04006429
ons-E04006554,hales-parish-council,Hales Parish Council,parish,,,,,ons,E04006554
ons-E04006498,weybourne-parish-council,Weybourne Parish Council,parish,,,,,ons,E04006498
ons-E04006499,wickmere-parish-council,Wickmere Parish Council,parish,,,,,ons,E04006499
ons-E04006441,knapton-parish-council,Knapton Parish Council,parish,,,,,ons,E04006441
